"CHROM","POS","MEAN_DEPTH","VAR_DEPTH","RADtag"
"scaffold1021_cov90",288084,66.0716,757.891,52
"scaffold1021_cov90",301559,39.8086,391.883,53
"scaffold1021_cov90",301570,39.941,392.661,53
"scaffold1021_cov90",301572,40.1452,401.485,53
"scaffold1024_cov71",9624,105.444,4375.39,54
"scaffold1024_cov71",9636,105.451,4375.73,54
"scaffold1024_cov71",37583,96.7657,2509.88,55
"scaffold1024_cov71",37613,96.78,2508.28,55
"scaffold1024_cov71",37627,96.7746,2508.47,55
"scaffold1024_cov71",37631,96.7388,2508.17,55
"scaffold1024_cov71",44443,125.415,4077.86,56
"scaffold1024_cov71",44447,125.297,4065.62,56
"scaffold1024_cov71",44458,125.114,4066.93,56
"scaffold1024_cov71",44467,124.889,4077.33,56
"scaffold1025_cov87",23558,62.7674,1018.18,57
"scaffold1025_cov87",23565,62.7621,1016.59,57
"scaffold1025_cov87",23606,62.7209,1010.54,57
"scaffold1025_cov87",35594,72.5474,1089.49,58
"scaffold1025_cov87",35622,72.907,1091.21,58
"scaffold1025_cov87",35630,72.7835,1095.61,58
"scaffold1025_cov87",35631,72.8247,1106.63,58
"scaffold1025_cov87",37063,40.8336,455.949,59
"scaffold1025_cov87",43923,61.2111,905.192,60
"scaffold1025_cov87",63130,81.1038,2194.71,61
"scaffold1025_cov87",63137,81.3238,2199.96,61
"scaffold1025_cov87",63148,81.2773,2197.2,61
"scaffold1025_cov87",82459,118.538,4008.05,62
"scaffold1025_cov87",102664,98.3828,2862,63
"scaffold1025_cov87",129512,61.4902,902.43,64
"scaffold1025_cov87",133587,109.667,2759.56,65
"scaffold1025_cov87",133592,109.986,2767.49,65
"scaffold1025_cov87",133615,110.007,2767.28,65
"scaffold1025_cov87",175495,56.8408,1083.32,66
"scaffold1025_cov87",175523,57.2844,1093.88,66
"scaffold1025_cov87",175537,57.2594,1092.22,66
"scaffold1025_cov87",175550,57.2809,1097.11,66
"scaffold1025_cov87",197501,52.3202,560.358,67
"scaffold1025_cov87",197511,58.1163,677.354,67
"scaffold1025_cov87",197535,59.483,706.859,67
"scaffold1025_cov87",200353,48.712,473.094,68
"scaffold1025_cov87",200361,48.7835,474.306,68
"scaffold1025_cov87",200391,48.771,472.955,68
"scaffold1025_cov87",232991,54.1592,593.177,69
"scaffold1029_cov81",23282,122.055,3028.32,70
"scaffold1029_cov81",23283,122.068,3035.17,70
"scaffold1029_cov81",23302,122.261,3024.01,70
"scaffold1029_cov81",23324,122.057,3022.62,70
"scaffold1029_cov81",44571,48.644,423.434,71
"scaffold1029_cov81",150303,61.4401,1075.83,72
"scaffold1029_cov81",150305,62.3488,1074.73,72
"scaffold1029_cov81",150308,64.3775,1141.1,72
"scaffold1029_cov81",150320,64.4544,1140.11,72
"scaffold1029_cov81",150329,65.5277,1130.04,72
"scaffold1029_cov81",150348,66.2952,1198.31,72
"scaffold1029_cov81",160346,86.7782,1645.8,73
"scaffold1029_cov81",183764,127.687,3340.61,74
"scaffold1029_cov81",264650,62.8336,787.96,75
"scaffold1029_cov81",290820,65.8157,1105.71,76
"scaffold1029_cov81",295829,58.2576,737.622,77
"scaffold1029_cov81",307500,127.181,3746.32,78
"scaffold1029_cov81",307504,127.088,3756.89,78
"scaffold1029_cov81",307530,127.123,3745.65,78
"scaffold1029_cov81",307549,127.345,3754.67,78
"scaffold1029_cov81",320978,41.5331,343.439,79
"scaffold1029_cov81",321003,41.5581,342.975,79
"scaffold1029_cov81",321005,41.5635,343.196,79
"scaffold1029_cov81",391087,72.2326,1178.84,80
"scaffold1029_cov81",391090,72.4669,1186.49,80
"scaffold1029_cov81",391132,70.771,1260.46,80
"scaffold1029_cov81",443637,68.7209,1493.8,81
"scaffold1029_cov81",457545,73.7818,1230.04,82
"scaffold1029_cov81",459892,65.1467,1021.63,83
"scaffold1035_cov76",47838,103.118,2929.82,84
"scaffold1035_cov76",47845,103.47,2949.16,84
"scaffold1035_cov76",61717,42.7138,409.079,85
"scaffold1035_cov76",61728,42.6547,406.449,85
"scaffold1035_cov76",90042,57.0072,820.107,86
"scaffold104_cov82",2191,56.7048,897.201,87
"scaffold104_cov82",2202,56.4258,897.697,87
"scaffold104_cov82",4628,65.2665,989.647,88
"scaffold104_cov82",4640,65.2397,990.261,88
"scaffold104_cov82",4652,65.229,991.431,88
"scaffold104_cov82",7475,70.0411,1881.49,89
"scaffold104_cov82",13014,66.0823,945.868,90
"scaffold104_cov82",13038,66.0716,945.396,90
"scaffold104_cov82",13039,66.1699,942.317,90
"scaffold104_cov82",13073,66.6691,938.795,90
"scaffold104_cov82",13074,66.6691,938.795,90
"scaffold104_cov82",23373,70.839,1019.64,91
"scaffold104_cov82",23383,71.5474,1034.48,91
"scaffold104_cov82",36023,49.1735,2390.28,92
"scaffold104_cov82",36030,49.2898,2393.5,92
"scaffold104_cov82",48605,113.193,3294.8,93
"scaffold104_cov82",48618,114.392,3372.55,93
"scaffold104_cov82",62007,97.5027,1879.33,94
"scaffold104_cov82",62056,98.1109,1872.85,94
"scaffold104_cov82",62407,130.58,3490.44,95
"scaffold104_cov82",62514,79.0268,1167.16,96
"scaffold104_cov82",113184,119.431,6057.32,97
"scaffold104_cov82",113197,119.624,6105.65,97
"scaffold104_cov82",125936,42.9356,579.86,98
"scaffold104_cov82",125967,43.3649,580.892,98
"scaffold104_cov82",164465,76.483,2448.2,99
"scaffold104_cov82",164473,76.8623,2499.76,99
"scaffold104_cov82",164492,92.873,3161.52,99
"scaffold104_cov82",183858,94.7961,1823.79,100
"scaffold104_cov82",183939,51.4498,554.898,101
"scaffold104_cov82",183941,51.4329,553.859,101
"scaffold104_cov82",200721,129.621,3554.2,102
"scaffold104_cov82",207092,75.0161,2389.57,103
"scaffold104_cov82",207117,75.3023,2424.86,103
"scaffold104_cov82",207193,51.0143,752.896,104
"scaffold104_cov82",212065,55.2504,865.783,105
"scaffold104_cov82",219599,79.8265,1686.75,106
"scaffold104_cov82",219603,79.8247,1686.92,106
"scaffold104_cov82",219609,81.2934,1743.03,106
"scaffold104_cov82",225492,35.1467,247.609,107
"scaffold104_cov82",262969,75.9893,1198.84,108
"scaffold104_cov82",262970,76.0769,1196.08,108
"scaffold104_cov82",262988,76.3131,1197.33,108
"scaffold104_cov82",263009,76.6047,1198,108
"scaffold104_cov82",305684,85.5814,1745.48,109
"scaffold104_cov82",305686,85.6798,1741.81,109
"scaffold104_cov82",305703,85.6458,1744.51,109
"scaffold104_cov82",305717,85.5975,1741.69,109
"scaffold104_cov82",318472,122.335,7997.17,110
"scaffold104_cov82",406845,41.8837,669.336,111
"scaffold104_cov82",439490,49.0304,494.058,112
"scaffold104_cov82",442090,52.8533,806.95,113
"scaffold104_cov82",478673,40.3256,365.32,114
"scaffold104_cov82",502435,64.2343,818.764,115
"scaffold104_cov82",502549,80.4651,1293.97,116
"scaffold104_cov82",502583,74.6762,1355.11,116
"scaffold104_cov82",509955,51.6691,706.727,117
"scaffold104_cov82",509969,51.4615,706.944,117
"scaffold104_cov82",514759,53.6905,615.583,118
"scaffold104_cov82",514762,53.7746,618.827,118
"scaffold104_cov82",535635,68.5868,1495.17,119
"scaffold104_cov82",593651,79.3148,1535.11,120
"scaffold104_cov82",593717,38.2469,533.448,120
"scaffold104_cov82",593736,38.1199,531.722,121
"scaffold104_cov82",643543,64.059,971.048,122
"scaffold104_cov82",643559,63.9499,969.245,122
"scaffold104_cov82",643561,64.0143,972.068,122
"scaffold104_cov82",643570,63.7746,971.992,122
"scaffold104_cov82",643571,64,973.154,122
"scaffold104_cov82",643583,63.8927,975.687,122
"scaffold104_cov82",643584,63.8945,975.557,122
"scaffold104_cov82",737575,42.5528,388.563,123
"scaffold104_cov82",737646,41.6869,360.57,123
"scaffold104_cov82",889571,70.4919,1497.24,124
"scaffold104_cov82",889584,71.6243,1469.37,124
"scaffold104_cov82",889593,71.7621,1472.68,124
"scaffold104_cov82",889605,71.7066,1473.52,124
"scaffold104_cov82",901054,120.673,2736.82,125
"scaffold104_cov82",901056,120.662,2733.69,125
"scaffold104_cov82",901087,120.084,2712.65,125
"scaffold104_cov82",901096,120.333,2728.08,125
"scaffold104_cov82",928548,96.7692,2635.66,126
"scaffold104_cov82",928557,96.5939,2658.78,126
"scaffold104_cov82",928563,96.4973,2653.13,126
"scaffold104_cov82",928580,96.703,2668.29,126
"scaffold104_cov82",928581,96.907,2653.81,126
"scaffold104_cov82",986103,79.6673,1221.18,127
"scaffold104_cov82",986127,79.6977,1221.96,127
"scaffold104_cov82",1022810,61.7889,672.274,128
"scaffold104_cov82",1035565,94.5975,2338.21,129
"scaffold104_cov82",1035568,94.7943,2337.19,129
"scaffold104_cov82",1035598,95.737,2218.23,129
"scaffold104_cov82",1035604,95.7013,2226.87,129
"scaffold104_cov82",1038578,128.757,3605.35,130
"scaffold104_cov82",1038632,130.116,3618.42,130
"scaffold104_cov82",1057886,78.4794,3695.53,131
"scaffold104_cov82",1057907,79.0662,3671.64,131
"scaffold104_cov82",1061207,65.2254,1259.36,132
"scaffold104_cov82",1061211,65.7907,1218.86,132
"scaffold104_cov82",1061218,65.5009,1234.93,132
"scaffold104_cov82",1061238,65.8551,1215.68,132
"scaffold104_cov82",1061249,65.8623,1211.25,132
"scaffold104_cov82",1061264,65.6708,1228.88,132
"scaffold104_cov82",1061307,90.1789,2728.87,133
"scaffold104_cov82",1061321,89.2987,2720.23,133
"scaffold104_cov82",1061331,89.186,2719.55,133
"scaffold104_cov82",1061333,89.1914,2719.95,133
"scaffold104_cov82",1061335,88.7979,2741.35,133
"scaffold104_cov82",1061344,88.0018,2749.6,133
"scaffold104_cov82",1136337,96.8318,1731.99,134
"scaffold104_cov82",1136344,96.9356,1731.9,134
"scaffold104_cov82",1136359,97.703,1741.18,134
"scaffold104_cov82",1136448,40.542,331.937,135
"scaffold104_cov82",1136459,40.5438,333.274,135
"scaffold104_cov82",1145356,58.1252,1285.12,136
"scaffold104_cov82",1145398,86.458,1609.47,136
"scaffold104_cov82",1145406,87.1055,1541,136
"scaffold104_cov82",1145414,87.1986,1536.84,136
"scaffold104_cov82",1236576,45.7281,644.03,137
"scaffold104_cov82",1236578,45.6744,645.005,137
"scaffold104_cov82",1236581,45.6512,644.163,137
"scaffold104_cov82",1236607,44.9535,652.371,137
"scaffold104_cov82",1236608,44.9356,652.039,137
"scaffold1041_cov81",21051,111.524,4576.59,138
"scaffold1041_cov81",21057,110.782,4603.08,138
"scaffold1041_cov81",29521,37.7979,281.412,139
"scaffold1041_cov81",29532,37.7943,281.898,139
"scaffold1041_cov81",63089,66.5617,856.82,140
"scaffold1041_cov81",63092,66.5403,855.023,140
"scaffold1041_cov81",63095,66.6512,855.532,140
"scaffold1041_cov81",73953,72.1538,1723.48,141
"scaffold1041_cov81",73957,75.3817,1783.54,141
"scaffold1041_cov81",73961,76.8515,1813.9,141
"scaffold1041_cov81",73970,77.4401,1793.5,141
"scaffold1041_cov81",73971,77.5796,1792.21,141
"scaffold1041_cov81",73973,77.9732,1799.33,141
"scaffold1041_cov81",74001,90.3614,2022.49,141
"scaffold1041_cov81",74005,90.2576,2016.59,141
"scaffold1041_cov81",121918,59.9267,954.817,142
"scaffold1041_cov81",121959,61.839,963.117,142
"scaffold1041_cov81",121964,61.7889,962.83,142
"scaffold1041_cov81",121969,61.7925,962.727,142
"scaffold1041_cov81",127398,53.9857,4227.25,143
"scaffold1041_cov81",149621,107.705,2480.85,144
"scaffold1041_cov81",149637,107.699,2481.99,144
"scaffold1041_cov81",149658,106.987,2466.15,144
"scaffold1041_cov81",170659,45.1968,510.85,145
"scaffold1041_cov81",170668,45.1878,509.16,145
"scaffold1041_cov81",206173,94.3506,1961.56,146
"scaffold1041_cov81",206176,93.5438,1961.21,146
"scaffold1041_cov81",206193,94.6565,1966.49,146
"scaffold1041_cov81",206195,94.678,1967.8,146
"scaffold1041_cov81",206196,94.7979,1959.86,146
"scaffold1041_cov81",206208,94.8801,1951.28,146
"scaffold1041_cov81",206212,94.8855,1951.72,146
"scaffold1041_cov81",206223,94.7442,1969.24,146
"scaffold1041_cov81",252136,50.814,659.403,147
"scaffold1041_cov81",252141,51.3649,684.942,147
"scaffold1041_cov81",252143,51.4043,689.668,147
"scaffold1041_cov81",252147,52.5796,657.416,147
"scaffold1041_cov81",252154,52.712,664.159,147
"scaffold1041_cov81",252158,52.9678,669.314,147
"scaffold1041_cov81",261593,93.9267,2737.59,148
"scaffold1041_cov81",261602,93.8587,2736.17,148
"scaffold1041_cov81",261614,93.9267,2737.94,148
"scaffold1041_cov81",261629,93.7728,2749.58,148
"scaffold1041_cov81",264988,126.914,4853.35,149
"scaffold1041_cov81",266265,92.8837,2170.03,150
"scaffold1041_cov81",266276,92.907,2166.24,150
"scaffold1041_cov81",266285,92.9195,2164.54,150
"scaffold1041_cov81",266292,92.9428,2165.78,150
"scaffold1041_cov81",266304,92.9517,2164.04,150
"scaffold1041_cov81",327726,111.091,3796,151
"scaffold1041_cov81",327728,109.785,3940.72,151
"scaffold1044_cov82",52644,41.5385,354.066,152
"scaffold1044_cov82",52653,41.8551,354.655,152
"scaffold1044_cov82",52677,41.5349,350.844,152
"scaffold1044_cov82",84134,109.442,6678.75,153
"scaffold1044_cov82",84136,109.465,6685.88,153
"scaffold1044_cov82",84152,111.138,6688.9,153
"scaffold1044_cov82",84153,111.422,6684.2,153
"scaffold1044_cov82",84167,113.519,6732.64,153
"scaffold1044_cov82",84175,113.624,6723.3,153
"scaffold1044_cov82",100267,82.7209,2623.18,154
"scaffold1044_cov82",100271,83.8157,2688.79,154
"scaffold1044_cov82",100299,95.059,3425.54,154
"scaffold1044_cov82",100309,95.0555,3423.45,154
"scaffold1044_cov82",100317,96.1843,3484.85,154
"scaffold1044_cov82",117907,48.034,489.9,155
"scaffold1044_cov82",117910,48.136,490.555,155
"scaffold1044_cov82",121158,83.1753,2139.25,156
"scaffold1044_cov82",121195,83.1449,2137.06,156
"scaffold1044_cov82",122241,61.6583,857.118,157
"scaffold1044_cov82",122256,61.7764,890.93,157
"scaffold1044_cov82",122263,63.7317,865.562,157
"scaffold1044_cov82",122273,63.9463,863.531,157
"scaffold1044_cov82",122292,63.9589,863.513,157
"scaffold1044_cov82",122327,85.9839,1646.02,158
"scaffold1044_cov82",122331,86.0877,1644.12,158
"scaffold1045_cov75",9350,62.8497,838.995,159
"scaffold1045_cov75",13209,75.2844,1809.22,160
"scaffold1045_cov75",13218,76.5403,1779.86,160
"scaffold1045_cov75",13224,76.5259,1779.54,160
"scaffold1045_cov75",37582,72.9159,1564.52,161
"scaffold1045_cov75",57647,73.8068,1428.42,162
"scaffold1045_cov75",57648,73.7853,1427.39,162
"scaffold1045_cov75",103115,115.957,3970.47,163
"scaffold1045_cov75",108111,121.959,3071.09,164
"scaffold1045_cov75",108129,121.288,3073.03,164
"scaffold1045_cov75",108140,121.853,3067.93,164
"scaffold1045_cov75",108159,122.148,3088.53,164
"scaffold1045_cov75",108169,121.93,3111.72,164
"scaffold1045_cov75",130044,84.585,2427.67,165
"scaffold1045_cov75",130050,85.8855,2497.82,165
"scaffold1045_cov75",130062,95.9893,2687.07,165
"scaffold1045_cov75",133338,45.7245,615.53,166
"scaffold1045_cov75",234169,70.3649,1075.41,167
"scaffold1045_cov75",296659,52.6905,647.2,168
"scaffold1045_cov75",304372,80.814,1541.52,169
"scaffold1045_cov75",304373,81.3345,1535.88,169
"scaffold1045_cov75",304378,81.2397,1536.72,169
"scaffold1045_cov75",304402,81.2719,1536.71,169
"scaffold1045_cov75",304415,81.2916,1535.63,169
"scaffold1045_cov75",304419,81.3524,1532.8,169
"scaffold1045_cov75",348636,44.1163,786.275,170
"scaffold1045_cov75",348647,44.3309,789.874,170
"scaffold1045_cov75",348652,44.746,780.24,170
"scaffold1045_cov75",348669,44.746,779.606,170
"scaffold1045_cov75",348685,44.4812,781.422,170
"scaffold1045_cov75",395568,44.9589,462.638,171
"scaffold1045_cov75",395592,45.3399,471.024,171
"scaffold1045_cov75",396413,73.4365,1649.96,172
"scaffold1045_cov75",396414,73.2809,1658.88,172
"scaffold1045_cov75",405510,61.8962,849.513,173
"scaffold1045_cov75",405529,61.9088,849.621,173
"scaffold1045_cov75",405534,61.9123,850.847,173
"scaffold1045_cov75",405599,44.1324,592.721,174
"scaffold1045_cov75",405607,43.966,592.42,174
"scaffold1045_cov75",405609,43.7961,563.84,174
"scaffold1045_cov75",472535,120.923,8655.49,175
"scaffold1045_cov75",472539,120.937,8649.63,175
"scaffold1045_cov75",472541,120.778,8629.81,175
"scaffold1045_cov75",472543,120.288,8617.36,175
"scaffold1045_cov75",472546,120.966,8676.54,175
"scaffold1045_cov75",472548,120.968,8680.46,175
"scaffold1045_cov75",480426,77.2701,1238.15,176
"scaffold1045_cov75",481452,76.8569,1379.45,177
"scaffold1045_cov75",481470,77.4776,1362.4,177
"scaffold1045_cov75",481485,78.8623,1352.23,177
"scaffold1045_cov75",481488,77.1145,1403.81,177
"scaffold1045_cov75",481506,79.161,1336.16,177
"scaffold1045_cov75",509401,43.2165,479.238,178
"scaffold1045_cov75",509458,43.2165,483.062,178
"scaffold1045_cov75",546370,125.989,9781.8,179
"scaffold1045_cov75",546398,125.372,9936.49,179
"scaffold1045_cov75",546868,39.9302,362.664,180
"scaffold1045_cov75",546898,39.9696,362.133,180
"scaffold1045_cov75",546899,39.9714,362.143,180
"scaffold1045_cov75",589225,112.174,5189.08,181
"scaffold1045_cov75",589230,112.85,5212.92,181
"scaffold1045_cov75",589238,112.179,5189.71,181
"scaffold1045_cov75",589290,79.9642,2110.49,181
"scaffold1045_cov75",634417,93.3792,2196.94,182
"scaffold1045_cov75",634435,93.6029,2177.84,182
"scaffold1045_cov75",651727,72.5313,1776.56,183
"scaffold1045_cov75",651734,76.6297,1931,183
"scaffold1045_cov75",651735,77.1878,1928.54,183
"scaffold1045_cov75",651736,81.1413,2119.99,183
"scaffold1045_cov75",651755,86.6565,2239.65,183
"scaffold1045_cov75",659302,73.1216,2026.52,184
"scaffold1045_cov75",659309,73.1324,2029.04,184
"scaffold1045_cov75",659310,73.1449,2030.11,184
"scaffold1045_cov75",703698,91.3023,1558.37,185
"scaffold1045_cov75",703721,94.4275,1540.86,185
"scaffold1045_cov75",727494,43.229,419.32,186
"scaffold1045_cov75",727496,43.2361,419.546,186
"scaffold1045_cov75",743198,100.522,2704.1,187
"scaffold1047_cov80",16043,128.047,9871.81,188
"scaffold1047_cov80",21866,67.2075,918.907,189
"scaffold1047_cov80",21905,67.1091,919.502,189
"scaffold1047_cov80",21907,67.1109,919.894,189
"scaffold1047_cov80",30177,76.5581,1164.82,190
"scaffold1047_cov80",30178,76.4508,1167.17,190
"scaffold1047_cov80",30180,76.6261,1167.95,190
"scaffold1047_cov80",30183,76.5886,1167.46,190
"scaffold1047_cov80",62138,43.8766,454.388,191
"scaffold1047_cov80",100506,89.2934,1700.66,192
"scaffold1047_cov80",146058,69.6905,1174.82,193
"scaffold1047_cov80",150591,99.5492,2302.9,194
"scaffold1047_cov80",250622,87.2809,2296.04,195
"scaffold1047_cov80",250627,88.0161,2285.64,195
"scaffold1047_cov80",250641,88.4633,2324.02,195
"scaffold1047_cov80",250646,89.2487,2344.15,195
"scaffold1047_cov80",250656,102.914,3166.1,195
"scaffold1047_cov80",250697,94.3095,2636.28,195
"scaffold1047_cov80",250698,96.4097,2693.21,196
"scaffold1047_cov80",250715,96.4401,2696.3,196
"scaffold1047_cov80",272124,67.0626,1199.47,197
"scaffold1047_cov80",272148,66.9445,1192.06,197
"scaffold1047_cov80",333938,52.6691,1433.27,198
"scaffold1047_cov80",388446,59.4097,734.314,199
"scaffold1047_cov80",388449,59.4293,734.876,199
"scaffold105_cov82",40900,66.8408,1066.1,200
"scaffold105_cov82",40905,68.2487,1113.84,200
"scaffold105_cov82",85311,92.4311,2676.32,201
"scaffold105_cov82",85324,93.0143,2691.52,201
"scaffold105_cov82",85338,93.0358,2694.92,201
"scaffold105_cov82",85348,93.102,2697.41,201
"scaffold105_cov82",98131,96.5617,2031.68,202
"scaffold105_cov82",98194,130.367,3428.74,202
"scaffold105_cov82",98203,130.25,3419.96,202
"scaffold105_cov82",98236,130.129,3409.79,203
"scaffold105_cov82",115921,80.8569,2086.14,204
"scaffold105_cov82",115938,81.5814,2150.29,204
"scaffold105_cov82",135737,48.4311,504.672,205
"scaffold105_cov82",135755,48.9249,490.034,205
"scaffold105_cov82",135783,49.0483,490.709,205
"scaffold105_cov82",136812,64.2809,912.944,206
"scaffold105_cov82",136817,64.2826,912.762,206
"scaffold105_cov82",157134,50.3775,578.931,207
"scaffold105_cov82",157160,51.0877,558.969,207
"scaffold105_cov82",180524,52.2451,621.257,208
"scaffold105_cov82",180552,53.0501,636.6,208
"scaffold105_cov82",183867,69.9517,1310.15,209
"scaffold105_cov82",183883,70.0215,1311.56,209
"scaffold105_cov82",183886,70.0644,1313.58,209
"scaffold105_cov82",183893,69.8462,1316.16,209
"scaffold105_cov82",183896,70.161,1335.57,209
"scaffold105_cov82",183897,70.4812,1338.53,209
"scaffold105_cov82",183914,70.4884,1337.9,209
"scaffold105_cov82",231569,62.7156,1027.95,210
"scaffold105_cov82",231611,62.4794,1022.73,210
"scaffold105_cov82",232369,68.7943,2118.89,211
"scaffold105_cov82",232378,68.7263,2120.76,211
"scaffold105_cov82",261465,131.061,2994.33,212
"scaffold105_cov82",287334,67.4472,1710.23,213
"scaffold105_cov82",287344,67.2218,1690.76,213
"scaffold105_cov82",287349,67.2272,1685.4,213
"scaffold105_cov82",326819,46.6136,500.453,214
"scaffold105_cov82",326827,50.2612,587.616,214
"scaffold105_cov82",326857,50.4866,590.978,214
"scaffold105_cov82",371244,51.9231,524.727,215
"scaffold105_cov82",371245,51.9517,524.128,215
"scaffold105_cov82",371253,51.9678,523.995,215
"scaffold105_cov82",371279,52.0143,522.591,215
"scaffold105_cov82",371329,64.7674,657.724,216
"scaffold105_cov82",371334,64.7639,658.041,216
"scaffold105_cov82",371355,64.7442,658.653,216
"scaffold105_cov82",371357,64.7335,658.662,216
"scaffold105_cov82",371383,64.5474,658.212,216
"scaffold105_cov82",376269,58.8336,792.157,217
"scaffold105_cov82",376275,59.2952,790.667,217
