Bmo_Pep Pra_Pep Bmo_Nscaff Bmo_Nscaff_Pep_Start Bmo_Nscaff_Pep_End Bmo_Chrom Bmo_Nscaf_Order_within_Chrom
BGIBMGA000042-PA pra3516.2 nscaf1071 620089 626738 26 26.3
BGIBMGA000043-PA pra3516.5 nscaf1071 688056 693867 26 26.3
BGIBMGA000044-PA pra3516.6 nscaf1071 709297 710082 26 26.3
BGIBMGA000045-PA pra3516.8 nscaf1071 756455 761654 26 26.3
BGIBMGA000046-PA pra3516.14 nscaf1071 839498 846172 26 26.3
BGIBMGA000047-PA pra3516.16 nscaf1071 860527 866539 26 26.3
BGIBMGA000048-PA pra13881.1 nscaf1071 883002 886205 26 26.3
BGIBMGA000050-PA pra13881.2 nscaf1071 899025 905630 26 26.3
BGIBMGA000051-PA pra13881.3 nscaf1071 916070 920540 26 26.3
BGIBMGA000052-PA pra13881.4 nscaf1071 924686 927766 26 26.3
BGIBMGA000053-PA pra13881.5 nscaf1071 931016 939783 26 26.3
BGIBMGA000054-PA pra13881.6 nscaf1071 968425 985551 26 26.3
BGIBMGA000054-PA pra714.21 nscaf1071 968425 985551 26 26.3
BGIBMGA000057-PA pra714.19 nscaf1071 1076980 1078935 26 26.3
BGIBMGA000060-PA pra714.18 nscaf1071 1194454 1203962 26 26.3
BGIBMGA000061-PA pra755.22 nscaf1071 1233907 1234573 26 26.3
BGIBMGA000062-PA pra755.21 nscaf1071 1239819 1245122 26 26.3
BGIBMGA000063-PA pra756.1 nscaf1071 1293757 1306270 26 26.3
BGIBMGA000064-PA pra756.5 nscaf1071 1313232 1316001 26 26.3
BGIBMGA000065-PA pra547.42 nscaf1087 2451 9117 U NA
BGIBMGA000066-PA pra1463.3 nscaf109 1549 4332 U NA
BGIBMGA000067-PA pra23.41 nscaf1108 3401547 3415278 24 24.3
BGIBMGA000069-PA pra845.3 nscaf1108 2546311 2574462 24 24.3
BGIBMGA000070-PA pra1047.13 nscaf1108 2533757 2534560 24 24.3
BGIBMGA000070-PA pra4239.2 nscaf1108 2533757 2534560 24 24.3
BGIBMGA000072-PA pra1084.3 nscaf1108 2442934 2452908 24 24.3
BGIBMGA000072-PA pra18260.1 nscaf1108 2442934 2452908 24 24.3
BGIBMGA000073-PA pra41338.1 nscaf1108 2382927 2390096 24 24.3
BGIBMGA000074-PA pra871.1 nscaf1108 2370811 2374956 24 24.3
BGIBMGA000076-PA pra871.4 nscaf1108 2305769 2312842 24 24.3
BGIBMGA000078-PA pra871.7 nscaf1108 2207199 2212812 24 24.3
BGIBMGA000080-PA pra871.10 nscaf1108 2116762 2129703 24 24.3
BGIBMGA000081-PA pra871.12 nscaf1108 2004448 2004807 24 24.3
BGIBMGA000082-PA pra845.4 nscaf1108 1763047 1773049 24 24.3
BGIBMGA000083-PA pra41322.3 nscaf1108 1689741 1695693 24 24.3
BGIBMGA000084-PA pra577.1 nscaf1108 1444455 1452371 24 24.3
BGIBMGA000085-PA pra577.3 nscaf1108 1417113 1421224 24 24.3
BGIBMGA000086-PA pra577.5 nscaf1108 1380545 1384875 24 24.3
BGIBMGA000088-PA pra577.9 nscaf1108 1348800 1362931 24 24.3
BGIBMGA000089-PA pra577.10 nscaf1108 1325168 1333036 24 24.3
BGIBMGA000090-PA pra577.14 nscaf1108 1242058 1246670 24 24.3
BGIBMGA000091-PA pra1084.4 nscaf1108 1195516 1203324 24 24.3
BGIBMGA000091-PA pra577.15 nscaf1108 1195516 1203324 24 24.3
BGIBMGA000092-PA pra577.16 nscaf1108 1188532 1189815 24 24.3
BGIBMGA000093-PA pra91.1 nscaf1108 853496 856414 24 24.3
BGIBMGA000095-PA pra91.3 nscaf1108 761460 762528 24 24.3
BGIBMGA000097-PA pra91.4 nscaf1108 699721 728407 24 24.3
BGIBMGA000100-PA pra91.7 nscaf1108 609611 612290 24 24.3
BGIBMGA000100-PA pra91.8 nscaf1108 609611 612290 24 24.3
BGIBMGA000101-PA pra91.28 nscaf1108 585872 608290 24 24.3
BGIBMGA000102-PA pra91.9 nscaf1108 572734 581632 24 24.3
BGIBMGA000103-PA pra91.11 nscaf1108 539556 564561 24 24.3
BGIBMGA000104-PA pra91.13 nscaf1108 481032 500130 24 24.3
BGIBMGA000105-PA pra91.14 nscaf1108 474705 475046 24 24.3
BGIBMGA000106-PA pra91.16 nscaf1108 468795 469893 24 24.3
BGIBMGA000107-PA pra577.22 nscaf1108 448383 452888 24 24.3
BGIBMGA000109-PA pra577.19 nscaf1108 292248 302760 24 24.3
BGIBMGA000110-PA pra577.18 nscaf1108 264694 281503 24 24.3
BGIBMGA000111-PA pra577.17 nscaf1108 259701 262677 24 24.3
BGIBMGA000112-PA pra1370.2 nscaf1108 256846 258559 24 24.3
BGIBMGA000114-PA pra216.11 nscaf1108 147245 154538 24 24.3
BGIBMGA000115-PA pra216.10 nscaf1108 130608 137309 24 24.3
BGIBMGA000117-PA pra2215.1 nscaf1108 238521 243968 24 24.3
BGIBMGA000118-PA pra577.20 nscaf1108 427906 434216 24 24.3
BGIBMGA000119-PA pra577.21 nscaf1108 438761 444662 24 24.3
BGIBMGA000120-PA pra91.29 nscaf1108 454682 455977 24 24.3
BGIBMGA000121-PA pra91.17 nscaf1108 466219 467505 24 24.3
BGIBMGA000122-PA pra91.15 nscaf1108 472642 474571 24 24.3
BGIBMGA000123-PA pra91.12 nscaf1108 518456 524771 24 24.3
BGIBMGA000124-PA pra91.10 nscaf1108 566241 567003 24 24.3
BGIBMGA000125-PA pra238.18 nscaf1108 675442 676344 24 24.3
BGIBMGA000127-PA pra91.2 nscaf1108 776396 779523 24 24.3
BGIBMGA000128-PA pra577.13 nscaf1108 1267202 1280573 24 24.3
BGIBMGA000129-PA pra577.12 nscaf1108 1301497 1305441 24 24.3
BGIBMGA000130-PA pra577.11 nscaf1108 1333949 1340942 24 24.3
BGIBMGA000131-PA pra577.8 nscaf1108 1367146 1371308 24 24.3
BGIBMGA000132-PA pra577.4 nscaf1108 1391873 1412495 24 24.3
BGIBMGA000133-PA pra577.2 nscaf1108 1433224 1440508 24 24.3
BGIBMGA000134-PA pra2718.1 nscaf1108 1548816 1549378 24 24.3
BGIBMGA000136-PA pra116.41 nscaf1108 1638627 1665363 24 24.3
BGIBMGA000136-PA pra1492.2 nscaf1108 1638627 1665363 24 24.3
BGIBMGA000136-PA pra41322.5 nscaf1108 1638627 1665363 24 24.3
BGIBMGA000138-PA pra41322.2 nscaf1108 1736212 1737327 24 24.3
BGIBMGA000140-PA pra845.5 nscaf1108 1773646 1800068 24 24.3
BGIBMGA000140-PA pra845.6 nscaf1108 1773646 1800068 24 24.3
BGIBMGA000144-PA pra871.13 nscaf1108 1966744 1993301 24 24.3
BGIBMGA000146-PA pra871.11 nscaf1108 2067039 2079635 24 24.3
BGIBMGA000147-PA pra313.32 nscaf1108 2094499 2102185 24 24.3
BGIBMGA000147-PA pra313.7 nscaf1108 2094499 2102185 24 24.3
BGIBMGA000148-PA pra313.6 nscaf1108 2104167 2104543 24 24.3
BGIBMGA000149-PA pra871.9 nscaf1108 2180746 2189972 24 24.3
BGIBMGA000150-PA pra871.8 nscaf1108 2193245 2197595 24 24.3
BGIBMGA000152-PA pra871.6 nscaf1108 2249571 2273243 24 24.3
BGIBMGA000153-PA pra871.5 nscaf1108 2280637 2289701 24 24.3
BGIBMGA000154-PA pra871.3 nscaf1108 2355097 2366326 24 24.3
BGIBMGA000155-PA pra1084.2 nscaf1108 2429901 2435940 24 24.3
BGIBMGA000157-PA pra845.2 nscaf1108 2576548 2577945 24 24.3
BGIBMGA000162-PA pra9013.1 nscaf1108 2984227 2987639 24 24.3
BGIBMGA000164-PA pra23.49 nscaf1108 3083733 3102110 24 24.3
BGIBMGA000164-PA pra845.1 nscaf1108 3083733 3102110 24 24.3
BGIBMGA000166-PA pra23.48 nscaf1108 3225672 3240195 24 24.3
BGIBMGA000167-PA pra23.46 nscaf1108 3265913 3270326 24 24.3
BGIBMGA000168-PA pra23.44 nscaf1108 3293287 3295740 24 24.3
BGIBMGA000169-PA pra23.57 nscaf1108 3301902 3303017 24 24.3
BGIBMGA000171-PA pra23.42 nscaf1108 3374988 3380319 24 24.3
BGIBMGA000173-PA pra105.45 nscaf125 156735 159498 17 17.2
BGIBMGA000174-PA pra105.43 nscaf125 112913 124496 17 17.2
BGIBMGA000176-PA pra105.42 nscaf125 83137 88685 17 17.2
BGIBMGA000177-PA pra105.40 nscaf125 15000 16070 17 17.2
BGIBMGA000178-PA pra105.39 nscaf125 1225 9503 17 17.2
BGIBMGA000179-PA pra105.41 nscaf125 68992 76584 17 17.2
BGIBMGA000180-PA pra105.44 nscaf125 133007 152579 17 17.2
BGIBMGA000184-PA pra197.50 nscaf1289 47804 48990 2 2.5
BGIBMGA000185-PA pra197.46 nscaf1289 20223 36914 2 2.5
BGIBMGA000185-PA pra40.4 nscaf1289 20223 36914 2 2.5
BGIBMGA000186-PA pra197.49 nscaf1289 88960 94884 2 2.5
BGIBMGA000187-PA pra283.21 nscaf1299 350861 354172 19 19.5
BGIBMGA000188-PA pra283.23 nscaf1299 346119 347723 19 19.5
BGIBMGA000189-PA pra283.25 nscaf1299 307379 315710 19 19.5
BGIBMGA000193-PA pra283.31 nscaf1299 24111 25741 19 19.5
BGIBMGA000197-PA pra283.30 nscaf1299 195757 196503 19 19.5
BGIBMGA000198-PA pra283.26 nscaf1299 298907 303522 19 19.5
BGIBMGA000200-PA pra283.24 nscaf1299 334528 344506 19 19.5
BGIBMGA000201-PA pra283.22 nscaf1299 349965 350663 19 19.5
BGIBMGA000204-PA pra1035.12 nscaf1485 10134 38855 U 63
BGIBMGA000209-PA pra72.7 nscaf1516 4470 14590 U NA
BGIBMGA000211-PA pra173.89 nscaf1531 55632 57010 U 67
BGIBMGA000212-PA pra173.91 nscaf1531 24212 25444 U 67
BGIBMGA000215-PA pra184.15 nscaf1566 7569 23979 U NA
BGIBMGA000216-PA pra54.24 nscaf1632 5811 6857 U NA
BGIBMGA000217-PA pra205.24 nscaf1681 5775016 5775843 22 22.3
BGIBMGA000218-PA pra205.25 nscaf1681 5724380 5725309 22 22.3
BGIBMGA000218-PA pra426.12 nscaf1681 5724380 5725309 22 22.3
BGIBMGA000219-PA pra569.4 nscaf1681 5677577 5680600 22 22.3
BGIBMGA000220-PA pra569.6 nscaf1681 5597989 5616076 22 22.3
BGIBMGA000221-PA pra569.8 nscaf1681 5583779 5585301 22 22.3
BGIBMGA000222-PA pra569.9 nscaf1681 5511047 5540683 22 22.3
BGIBMGA000223-PA pra569.10 nscaf1681 5445302 5464172 22 22.3
BGIBMGA000224-PA pra569.11 nscaf1681 5432742 5437652 22 22.3
BGIBMGA000225-PA pra569.12 nscaf1681 5385073 5388668 22 22.3
BGIBMGA000226-PA pra569.13 nscaf1681 5364917 5370935 22 22.3
BGIBMGA000228-PA pra787.1 nscaf1681 5209636 5215637 22 22.3
BGIBMGA000230-PA pra787.2 nscaf1681 5182958 5188664 22 22.3
BGIBMGA000231-PA pra787.5 nscaf1681 5156909 5157526 22 22.3
BGIBMGA000232-PA pra787.7 nscaf1681 4916703 4922340 22 22.3
BGIBMGA000234-PA pra46.2 nscaf1681 4731122 4753791 22 22.3
BGIBMGA000236-PA pra46.3 nscaf1681 4709462 4719575 22 22.3
BGIBMGA000237-PA pra46.5 nscaf1681 4676023 4705665 22 22.3
BGIBMGA000240-PA pra46.9 nscaf1681 4214679 4216885 22 22.3
BGIBMGA000241-PA pra46.11 nscaf1681 4166562 4196341 22 22.3
BGIBMGA000243-PA pra46.14 nscaf1681 3859162 3860177 22 22.3
BGIBMGA000244-PA pra46.18 nscaf1681 3821254 3828855 22 22.3
BGIBMGA000245-PA pra46.24 nscaf1681 3585401 3589582 22 22.3
BGIBMGA000246-PA pra46.27 nscaf1681 3558180 3565627 22 22.3
BGIBMGA000248-PA pra46.28 nscaf1681 3530658 3541371 22 22.3
BGIBMGA000251-PA pra46.32 nscaf1681 3408706 3412734 22 22.3
BGIBMGA000253-PA pra46.35 nscaf1681 3372784 3373974 22 22.3
BGIBMGA000253-PA pra46.36 nscaf1681 3372784 3373974 22 22.3
BGIBMGA000253-PA pra46.37 nscaf1681 3372784 3373974 22 22.3
BGIBMGA000270-PA pra46.39 nscaf1681 3227268 3229443 22 22.3
BGIBMGA000271-PA pra46.40 nscaf1681 3220661 3221686 22 22.3
BGIBMGA000272-PA pra46.33 nscaf1681 3213209 3215711 22 22.3
BGIBMGA000272-PA pra46.41 nscaf1681 3213209 3215711 22 22.3
BGIBMGA000274-PA pra46.42 nscaf1681 3197810 3199268 22 22.3
BGIBMGA000277-PA pra46.43 nscaf1681 3161341 3162197 22 22.3
BGIBMGA000277-PA pra46.44 nscaf1681 3161341 3162197 22 22.3
BGIBMGA000283-PA pra206.16 nscaf1681 3119989 3121211 22 22.3
BGIBMGA000285-PA pra46.46 nscaf1681 3083828 3087194 22 22.3
BGIBMGA000286-PA pra46.50 nscaf1681 3045080 3052205 22 22.3
BGIBMGA000288-PA pra44.4 nscaf1681 3017438 3022274 22 22.3
BGIBMGA000288-PA pra44.5 nscaf1681 3017438 3022274 22 22.3
BGIBMGA000289-PA pra44.6 nscaf1681 3004226 3009909 22 22.3
BGIBMGA000290-PA pra24100.1 nscaf1681 2992237 2994733 22 22.3
BGIBMGA000290-PA pra44.7 nscaf1681 2992237 2994733 22 22.3
BGIBMGA000291-PA pra44.10 nscaf1681 2809008 2830171 22 22.3
BGIBMGA000291-PA pra44.8 nscaf1681 2809008 2830171 22 22.3
BGIBMGA000292-PA pra44.18 nscaf1681 2642535 2650862 22 22.3
BGIBMGA000293-PA pra44.22 nscaf1681 2589607 2591814 22 22.3
BGIBMGA000294-PA pra786.2 nscaf1681 2459342 2464778 22 22.3
BGIBMGA000295-PA pra1067.2 nscaf1681 2093312 2096370 22 22.3
BGIBMGA000296-PA pra1067.6 nscaf1681 2031301 2035553 22 22.3
BGIBMGA000298-PA pra1067.7 nscaf1681 1865173 1877267 22 22.3
BGIBMGA000299-PA pra1067.8 nscaf1681 1863523 1864692 22 22.3
BGIBMGA000300-PA pra653.22 nscaf1681 1855128 1857856 22 22.3
BGIBMGA000301-PA pra653.21 nscaf1681 1811308 1819750 22 22.3
BGIBMGA000301-PA pra786.4 nscaf1681 1811308 1819750 22 22.3
BGIBMGA000302-PA pra653.11 nscaf1681 1743320 1759324 22 22.3
BGIBMGA000303-PA pra653.10 nscaf1681 1723254 1727786 22 22.3
BGIBMGA000305-PA pra653.6 nscaf1681 1688408 1701679 22 22.3
BGIBMGA000305-PA pra653.7 nscaf1681 1688408 1701679 22 22.3
BGIBMGA000305-PA pra653.8 nscaf1681 1688408 1701679 22 22.3
BGIBMGA000306-PA pra653.5 nscaf1681 1680220 1683743 22 22.3
BGIBMGA000307-PA pra653.4 nscaf1681 1661872 1673460 22 22.3
BGIBMGA000308-PA pra653.2 nscaf1681 1598387 1612628 22 22.3
BGIBMGA000309-PA pra1185.9 nscaf1681 1532109 1538390 22 22.3
BGIBMGA000310-PA pra1185.7 nscaf1681 1507832 1512952 22 22.3
BGIBMGA000311-PA pra1185.5 nscaf1681 1480898 1482613 22 22.3
BGIBMGA000312-PA pra1185.3 nscaf1681 1440437 1454679 22 22.3
BGIBMGA000313-PA pra273.7 nscaf1681 1281339 1291164 22 22.3
BGIBMGA000314-PA pra273.9 nscaf1681 1249638 1259977 22 22.3
BGIBMGA000315-PA pra273.48 nscaf1681 1131092 1131569 22 22.3
BGIBMGA000316-PA pra273.14 nscaf1681 1120951 1123792 22 22.3
BGIBMGA000319-PA pra273.17 nscaf1681 866533 872384 22 22.3
BGIBMGA000320-PA pra273.19 nscaf1681 838104 844421 22 22.3
BGIBMGA000321-PA pra642.7 nscaf1681 788403 799264 22 22.3
BGIBMGA000322-PA pra642.8 nscaf1681 745521 753874 22 22.3
BGIBMGA000323-PA pra642.9 nscaf1681 719849 729883 22 22.3
BGIBMGA000324-PA pra642.10 nscaf1681 710443 712032 22 22.3
BGIBMGA000326-PA pra642.12 nscaf1681 692429 693040 22 22.3
BGIBMGA000327-PA pra642.11 nscaf1681 681605 682593 22 22.3
BGIBMGA000327-PA pra642.13 nscaf1681 681605 682593 22 22.3
BGIBMGA000329-PA pra642.14 nscaf1681 644697 650382 22 22.3
BGIBMGA000329-PA pra642.15 nscaf1681 644697 650382 22 22.3
BGIBMGA000330-PA pra642.16 nscaf1681 636844 638690 22 22.3
BGIBMGA000331-PA pra642.17 nscaf1681 620126 621551 22 22.3
BGIBMGA000333-PA pra642.18 nscaf1681 600986 602352 22 22.3
BGIBMGA000334-PA pra642.21 nscaf1681 566300 577819 22 22.3
BGIBMGA000335-PA pra642.23 nscaf1681 549558 551771 22 22.3
BGIBMGA000336-PA pra642.24 nscaf1681 523294 528170 22 22.3
BGIBMGA000338-PA pra642.19 nscaf1681 488206 491955 22 22.3
BGIBMGA000339-PA pra642.20 nscaf1681 472878 482183 22 22.3
BGIBMGA000340-PA pra2464.1 nscaf1681 453218 453982 22 22.3
BGIBMGA000342-PA pra273.44 nscaf1681 434302 437163 22 22.3
BGIBMGA000343-PA pra2464.2 nscaf1681 431307 432760 22 22.3
BGIBMGA000345-PA pra2464.4 nscaf1681 382727 384683 22 22.3
BGIBMGA000346-PA pra2464.6 nscaf1681 358956 361642 22 22.3
BGIBMGA000347-PA pra273.47 nscaf1681 329082 333742 22 22.3
BGIBMGA000348-PA pra273.46 nscaf1681 287339 289504 22 22.3
BGIBMGA000349-PA pra273.41 nscaf1681 271076 272302 22 22.3
BGIBMGA000349-PA pra44.2 nscaf1681 271076 272302 22 22.3
BGIBMGA000350-PA pra273.40 nscaf1681 268777 269288 22 22.3
BGIBMGA000351-PA pra273.37 nscaf1681 244034 260196 22 22.3
BGIBMGA000351-PA pra273.38 nscaf1681 244034 260196 22 22.3
BGIBMGA000351-PA pra95.36 nscaf1681 244034 260196 22 22.3
BGIBMGA000352-PA pra112.37 nscaf1681 237781 242111 22 22.3
BGIBMGA000352-PA pra273.36 nscaf1681 237781 242111 22 22.3
BGIBMGA000353-PA pra273.30 nscaf1681 168941 173906 22 22.3
BGIBMGA000354-PA pra273.28 nscaf1681 160684 162600 22 22.3
BGIBMGA000355-PA pra273.27 nscaf1681 149133 157658 22 22.3
BGIBMGA000357-PA pra273.23 nscaf1681 103181 104880 22 22.3
BGIBMGA000358-PA pra273.21 nscaf1681 75016 83955 22 22.3
BGIBMGA000359-PA pra273.51 nscaf1681 67364 73455 22 22.3
BGIBMGA000360-PA pra642.2 nscaf1681 45558 46692 22 22.3
BGIBMGA000361-PA pra642.4 nscaf1681 50809 51540 22 22.3
BGIBMGA000362-PA pra273.22 nscaf1681 91185 100388 22 22.3
BGIBMGA000364-PA pra273.26 nscaf1681 143689 147223 22 22.3
BGIBMGA000365-PA pra273.29 nscaf1681 165307 168762 22 22.3
BGIBMGA000366-PA pra273.35 nscaf1681 217331 233467 22 22.3
BGIBMGA000367-PA pra273.39 nscaf1681 264372 267883 22 22.3
BGIBMGA000368-PA pra273.42 nscaf1681 277196 285831 22 22.3
BGIBMGA000368-PA pra627.10 nscaf1681 277196 285831 22 22.3
BGIBMGA000369-PA pra2464.5 nscaf1681 378370 379848 22 22.3
BGIBMGA000371-PA pra642.22 nscaf1681 554038 556565 22 22.3
BGIBMGA000373-PA pra642.6 nscaf1681 812650 816423 22 22.3
BGIBMGA000374-PA pra273.20 nscaf1681 826783 838056 22 22.3
BGIBMGA000374-PA pra642.5 nscaf1681 826783 838056 22 22.3
BGIBMGA000375-PA pra273.18 nscaf1681 846345 847383 22 22.3
BGIBMGA000377-PA pra273.16 nscaf1681 957068 960892 22 22.3
BGIBMGA000379-PA pra273.15 nscaf1681 1044801 1086456 22 22.3
BGIBMGA000379-PA pra273.49 nscaf1681 1044801 1086456 22 22.3
BGIBMGA000379-PA pra273.50 nscaf1681 1044801 1086456 22 22.3
BGIBMGA000382-PA pra273.13 nscaf1681 1149710 1153136 22 22.3
BGIBMGA000383-PA pra273.12 nscaf1681 1158648 1163976 22 22.3
BGIBMGA000384-PA pra273.11 nscaf1681 1179725 1187269 22 22.3
BGIBMGA000385-PA pra273.10 nscaf1681 1225904 1240884 22 22.3
BGIBMGA000387-PA pra273.2 nscaf1681 1332645 1363248 22 22.3
BGIBMGA000387-PA pra273.3 nscaf1681 1332645 1363248 22 22.3
BGIBMGA000387-PA pra273.4 nscaf1681 1332645 1363248 22 22.3
BGIBMGA000387-PA pra273.5 nscaf1681 1332645 1363248 22 22.3
BGIBMGA000387-PA pra273.6 nscaf1681 1332645 1363248 22 22.3
BGIBMGA000388-PA pra1185.1 nscaf1681 1400865 1415574 22 22.3
BGIBMGA000388-PA pra273.1 nscaf1681 1400865 1415574 22 22.3
BGIBMGA000389-PA pra1185.2 nscaf1681 1438225 1438957 22 22.3
BGIBMGA000390-PA pra1185.4 nscaf1681 1459413 1478348 22 22.3
BGIBMGA000391-PA pra1185.6 nscaf1681 1488005 1504588 22 22.3
BGIBMGA000392-PA pra653.3 nscaf1681 1645211 1656549 22 22.3
BGIBMGA000393-PA pra653.9 nscaf1681 1713632 1716412 22 22.3
BGIBMGA000394-PA pra1273.3 nscaf1681 1734198 1740518 22 22.3
BGIBMGA000394-PA pra653.12 nscaf1681 1734198 1740518 22 22.3
BGIBMGA000394-PA pra653.13 nscaf1681 1734198 1740518 22 22.3
BGIBMGA000397-PA pra653.16 nscaf1681 1780806 1783507 22 22.3
BGIBMGA000398-PA pra653.17 nscaf1681 1790476 1799407 22 22.3
BGIBMGA000399-PA pra653.19 nscaf1681 1805250 1805729 22 22.3
BGIBMGA000401-PA pra1067.5 nscaf1681 2061849 2068953 22 22.3
BGIBMGA000402-PA pra1067.3 nscaf1681 2072894 2078764 22 22.3
BGIBMGA000402-PA pra1660.19 nscaf1681 2072894 2078764 22 22.3
BGIBMGA000402-PA pra1660.20 nscaf1681 2072894 2078764 22 22.3
BGIBMGA000403-PA pra3235.1 nscaf1681 2147806 2159613 22 22.3
BGIBMGA000403-PA pra786.10 nscaf1681 2147806 2159613 22 22.3
BGIBMGA000404-PA pra786.11 nscaf1681 2219824 2232843 22 22.3
BGIBMGA000406-PA pra786.9 nscaf1681 2259404 2266526 22 22.3
BGIBMGA000407-PA pra786.8 nscaf1681 2303274 2309106 22 22.3
BGIBMGA000408-PA pra786.7 nscaf1681 2358390 2359922 22 22.3
BGIBMGA000410-PA pra786.5 nscaf1681 2377505 2383709 22 22.3
BGIBMGA000412-PA pra786.3 nscaf1681 2399064 2399939 22 22.3
BGIBMGA000414-PA pra44.21 nscaf1681 2608486 2610375 22 22.3
BGIBMGA000415-PA pra44.19 nscaf1681 2621548 2639237 22 22.3
BGIBMGA000416-PA pra44.17 nscaf1681 2671606 2686936 22 22.3
BGIBMGA000417-PA pra44.16 nscaf1681 2690414 2696653 22 22.3
BGIBMGA000418-PA pra422.16 nscaf1681 2716727 2726090 22 22.3
BGIBMGA000418-PA pra44.14 nscaf1681 2716727 2726090 22 22.3
BGIBMGA000418-PA pra518.12 nscaf1681 2716727 2726090 22 22.3
BGIBMGA000419-PA pra44.13 nscaf1681 2728892 2736506 22 22.3
BGIBMGA000420-PA pra44.12 nscaf1681 2739234 2751939 22 22.3
BGIBMGA000421-PA pra44.11 nscaf1681 2799619 2802417 22 22.3
BGIBMGA000422-PA pra44.9 nscaf1681 2889804 2904180 22 22.3
BGIBMGA000425-PA pra46.51 nscaf1681 3030784 3041400 22 22.3
BGIBMGA000438-PA pra46.34 nscaf1681 3382256 3383624 22 22.3
BGIBMGA000439-PA pra120.25 nscaf1681 3577973 3584508 22 22.3
BGIBMGA000439-PA pra46.25 nscaf1681 3577973 3584508 22 22.3
BGIBMGA000439-PA pra46.26 nscaf1681 3577973 3584508 22 22.3
BGIBMGA000439-PA pra54.142 nscaf1681 3577973 3584508 22 22.3
BGIBMGA000440-PA pra46.22 nscaf1681 3596964 3597686 22 22.3
BGIBMGA000442-PA pra46.21 nscaf1681 3676155 3712751 22 22.3
BGIBMGA000445-PA pra46.20 nscaf1681 3803015 3809197 22 22.3
BGIBMGA000446-PA pra46.19 nscaf1681 3818670 3820690 22 22.3
BGIBMGA000447-PA pra46.16 nscaf1681 3833561 3847987 22 22.3
BGIBMGA000448-PA pra46.15 nscaf1681 3854114 3856950 22 22.3
BGIBMGA000449-PA pra46.13 nscaf1681 3948787 3951366 22 22.3
BGIBMGA000452-PA pra46.10 nscaf1681 4200841 4207002 22 22.3
BGIBMGA000454-PA pra46.7 nscaf1681 4271065 4285539 22 22.3
BGIBMGA000456-PA pra46.6 nscaf1681 4458327 4488043 22 22.3
BGIBMGA000459-PA pra46.4 nscaf1681 4708125 4709333 22 22.3
BGIBMGA000461-PA pra46.1 nscaf1681 4795594 4804198 22 22.3
BGIBMGA000462-PA pra786.1 nscaf1681 4841578 4850673 22 22.3
BGIBMGA000462-PA pra959.4 nscaf1681 4841578 4850673 22 22.3
BGIBMGA000462-PA pra959.5 nscaf1681 4841578 4850673 22 22.3
BGIBMGA000464-PA pra787.12 nscaf1681 4938809 4939531 22 22.3
BGIBMGA000465-PA pra787.11 nscaf1681 4947212 4951351 22 22.3
BGIBMGA000467-PA pra787.6 nscaf1681 5094244 5141812 22 22.3
BGIBMGA000467-PA pra9338.1 nscaf1681 5094244 5141812 22 22.3
BGIBMGA000468-PA pra787.4 nscaf1681 5160953 5164309 22 22.3
