Bmo_Nscaff	Bmo_Chrom	Bmo_Nscaff_order_within_Chrom
nscaf2823	25	25.4
nscaf2824	U	NA
nscaf2825	12	12.7
nscaf2826	12	12.6
nscaf2827	8	8.3
nscaf2828	8	8.4
nscaf2829	17	17.1
nscaf2830	U	41
nscaf2832	U	NA
nscaf2833	27	27.3
nscaf2835	27	NA
nscaf2836	27	27.5
nscaf2837	U	NA
nscaf2838	5	5.6
nscaf2839	12	12.9
nscaf2842	12	12.8
nscaf2844	U	47
nscaf2846	4	NA
nscaf2847	4	4.1
nscaf2848	U	NA
nscaf2851	6	6.4
nscaf2852	6	6.5
nscaf2853	6	6.3
nscaf2855	10	10.1
nscaf2857	10	NA
nscaf2859	10	10.3
nscaf2860	10	10.4
nscaf2862	U	NA
nscaf2865	17	17.5
nscaf2868	21	21.8
nscaf2873	17	NA
nscaf2874	U	52
nscaf2876	17	17.3
nscaf2877	U	92
nscaf2878	U	NA
nscaf2879	U	93
nscaf2880	U	NA
nscaf2882	3	NA
nscaf2883	3	3.1
nscaf2885	U	94
nscaf2886	3	3.2
nscaf2887	15	15.2
nscaf2888	15	15.1
nscaf2889	9	9.1
nscaf2890	9	9.2
nscaf2891	24	24.1
nscaf2893	U	95
nscaf2894	U	97
nscaf2899	18	18.3
nscaf2900	U	NA
nscaf2901	18	18.1
nscaf2902	18	18.2
nscaf2903	18	18.4
nscaf2905	7	7.5
nscaf2909	U	NA
nscaf2910	7	7.7
nscaf2912	7	7.6
nscaf2913	U	NA
nscaf2915	U	NA
nscaf2916	24	24.7
nscaf2924	3	NA
nscaf2925	3	3.8
nscaf2927	3	3.7
nscaf2930	3	3.5
nscaf2931	3	3.6
nscaf2937	20	20.8
nscaf2938	20	20.9
nscaf2939	U	NA
nscaf2940	U	NA
nscaf2943	14	14.3
nscaf2945	U	NA
nscaf2948	14	14.6
nscaf2950	14	NA
nscaf2951	14	14.4
nscaf2952	U	NA
nscaf2953	14	14.2
nscaf2954	U	98
nscaf2956	24	NA
nscaf2957	U	NA
nscaf2959	U	102
nscaf2961	24	NA
nscaf2962	24	24.5
nscaf2963	2	2.3
nscaf2964	2	2.4
nscaf2965	8	8.6
nscaf2967	U	NA
nscaf2970	8	8.8
nscaf2971	8	8.7
nscaf2976	U	109
nscaf2977	U	110
nscaf2979	U	112
nscaf2980	22	22.5
nscaf2981	7	7.1
nscaf2983	7	7.2
nscaf2986	7	7.4
nscaf2987	12	12.1
nscaf2990	12	12.4
nscaf2992	U	NA
nscaf2993	12	12.2
nscaf2995	12	NA
nscaf2997	U	114
nscaf2998	12	12.5
nscaf3002	U	NA
nscaf3003	26	26.1
nscaf3004	U	NA
nscaf3005	22	22.92
nscaf3006	U	NA
nscaf3007	U	116
nscaf3008	22	22.91
nscaf3010	U	NA
nscaf3012	U	NA
nscaf3013	23	23.3
nscaf3015	23	23.4
nscaf3017	U	NA
nscaf3021	U	NA
nscaf3022	23	23.7
nscaf3025	U	119
nscaf3026	23	23.6
nscaf3027	23	23.5
nscaf3028	U	120
nscaf3031	11	11.3
nscaf3032	11	11.2
nscaf3033	11	11.6
nscaf3034	11	11.5
nscaf3035	24	24.91
nscaf3037	U	NA
nscaf3038	U	121
nscaf3040	1	1.4
nscaf3041	21	21.1
nscaf3043	21	21.2
nscaf3044	21	21.3
nscaf3045	9	9.5
nscaf3047	U	NA
nscaf3048	9	9.3
nscaf3052	19	19.1
nscaf3053	U	32
nscaf3054	U	NA
nscaf3055	22	22.2
nscaf3056	22	22.1
nscaf3058	16	16.1
nscaf3060	U	NA
nscaf3062	16	16.2
nscaf3063	16	16.4
nscaf3064	16	NA
nscaf3066	24	24.2
nscaf3068	1	1.3
nscaf3069	2	NA
nscaf3070	U	NA
nscaf3071	27	27.1
nscaf3072	27	27.3
nscaf3074	6	6.1
nscaf3075	5	5.2
nscaf3076	5	NA
nscaf3077	U	129
nscaf3078	4	4.3
nscaf3079	6	6.2
nscaf3080	U	NA
nscaf3087	U	NA
nscaf3089	20	20.1
nscaf3090	U	130
nscaf3091	U	NA
nscaf3092	U	NA
nscaf3093	13	13.1
nscaf3094	U	NA
nscaf3097	28	28.4
nscaf3098	28	28.5
nscaf3099	28	28.1
nscaf3101	U	NA
nscaf3102	28	NA
nscaf3103	U	133
nscaf3104	21	NA
nscaf3105	U	NA
nscaf3106	U	136
nscaf3107	U	NA
nscaf3109	U	NA
nscaf3110	U	NA
nscaf3113	U	NA
nscaf3114	U	NA
nscaf3115	U	NA
nscaf3120	U	NA
nscaf3124	U	138
nscaf3125	U	NA
nscaf3126	U	NA
nscaf3129	U	NA
nscaf313	U	NA
nscaf3131	28	NA
nscaf3133	U	NA
nscaf3135	U	140
nscaf3138	27	NA
nscaf3140	U	NA
nscaf3142	U	NA
nscaf3146	U	NA
nscaf3147	U	NA
nscaf3148	U	NA
nscaf3150	U	NA
nscaf3154	9	NA
nscaf3156	U	NA
nscaf3157	U	NA
nscaf3163	11	NA
nscaf34	U	NA
nscaf398	U	NA
nscaf416	U	NA
nscaf44	U	NA
nscaf463	8	8.2
nscaf481	20	20.7
nscaf512	U	145
nscaf542	U	NA
nscaf556	U	NA
nscaf56	U	146
nscaf618	U	NA
nscaf651	U	148
nscaf703	U	NA
nscaf716	U	NA
nscaf732	U	NA
nscaf736	U	NA
nscaf760	U	NA
nscaf773	U	NA
nscaf864	U	NA
nscaf87	U	NA
nscaf98	8	8.1
scaffold1002	U	NA
scaffold1011	U	NA
scaffold1016	U	NA
scaffold1043	U	NA
scaffold1047	U	NA
scaffold1056	U	NA
scaffold1063	U	NA
scaffold1070	U	NA
scaffold1075	U	NA
scaffold1085	U	NA
scaffold1087	U	NA
scaffold1098	U	NA
scaffold1103	U	NA
scaffold1108	U	NA
scaffold1111	U	NA
scaffold1112	U	NA
scaffold1128	U	NA
scaffold1130	U	NA
scaffold1140	U	NA
scaffold1142	U	NA
scaffold1144	U	NA
scaffold1148	U	NA
scaffold1149	U	NA
scaffold1178	U	NA
scaffold1189	U	NA
scaffold1193	U	NA
scaffold1197	U	NA
scaffold1202	U	NA
scaffold1203	U	NA
scaffold1205	U	NA
scaffold1218	U	NA
scaffold1238	U	NA
scaffold1249	U	NA
scaffold1260	U	NA
scaffold1319	U	NA
scaffold1329	U	NA
scaffold1336	U	NA
scaffold1340	U	NA
scaffold1364	U	NA
scaffold1365	U	NA
scaffold1369	U	NA
scaffold1388	U	NA
scaffold1403	U	NA
scaffold1412	U	NA
scaffold1414	U	NA
scaffold1449	U	NA
scaffold1457	U	NA
scaffold1467	U	NA
scaffold1469	U	NA
scaffold1473	U	NA
scaffold1480	U	154
scaffold1500	U	NA
scaffold1520	U	NA
scaffold1555	U	NA
scaffold1559	U	NA
scaffold1693	U	NA
scaffold1697	U	NA
scaffold1717	U	NA
scaffold1742	U	NA
scaffold1769	U	NA
scaffold1782	U	NA
scaffold1845	U	NA
scaffold1865	U	NA
scaffold1894	U	NA
scaffold1895	U	NA
scaffold1901	U	NA
scaffold1930	U	NA
scaffold1940	U	NA
scaffold1942	U	NA
scaffold1972	U	NA
scaffold2054	U	NA
scaffold2152	U	NA
scaffold2306	U	NA
scaffold2311	U	NA
scaffold2332	U	NA
scaffold2440	U	NA
scaffold2444	U	NA
scaffold2462	U	NA
scaffold316	11	NA
scaffold416	14	14.1
scaffold418	U	156
scaffold547	U	157
scaffold584	21	NA
scaffold606	24	24.8
scaffold626	U	159
scaffold632	U	NA
scaffold644	U	161
scaffold651	U	NA
scaffold655	U	NA
scaffold657	U	NA
scaffold665	U	NA
scaffold672	U	NA
scaffold690	U	164
scaffold692	U	NA
scaffold693	U	NA
scaffold695	U	167
scaffold697	U	NA
scaffold700	U	NA
scaffold701	U	NA
scaffold705	U	169
scaffold707	U	NA
scaffold710	U	NA
scaffold711	U	NA
scaffold713	U	NA
scaffold715	U	173
scaffold718	U	NA
scaffold719	U	NA
scaffold720	U	NA
scaffold721	U	NA
scaffold728	U	NA
scaffold734	U	NA
scaffold735	U	NA
scaffold747	U	NA
scaffold748	U	174
scaffold749	U	NA
scaffold750	U	NA
scaffold751	U	176
scaffold752	U	NA
scaffold753	U	NA
scaffold755	U	NA
scaffold756	U	NA
scaffold758	U	NA
scaffold763	U	NA
scaffold765	U	NA
scaffold766	U	NA
scaffold767	U	NA
scaffold769	U	180
scaffold770	U	NA
scaffold771	U	NA
scaffold772	U	NA
scaffold773	U	NA
scaffold774	U	NA
scaffold776	U	NA
scaffold779	U	183
scaffold781	U	NA
scaffold782	U	NA
scaffold783	U	NA
scaffold788	U	NA
scaffold790	U	NA
scaffold792	U	184
scaffold795	U	NA
scaffold796	U	185
scaffold797	U	NA
scaffold798	U	NA
scaffold802	U	NA
scaffold803	U	NA
scaffold804	U	NA
scaffold812	U	NA
scaffold815	U	NA
scaffold816	U	187
scaffold818	U	NA
scaffold823	U	188
scaffold829	U	190
scaffold831	23	NA
scaffold835	U	NA
scaffold838	U	NA
scaffold843	U	192
scaffold845	U	NA
scaffold846	U	NA
scaffold851	U	NA
scaffold852	U	NA
scaffold853	U	195
scaffold855	U	NA
scaffold859	U	NA
scaffold865	U	NA
scaffold867	U	NA
scaffold868	U	NA
scaffold874	U	NA
scaffold875	U	NA
scaffold876	U	NA
scaffold880	U	NA
scaffold882	U	NA
scaffold894	U	NA
scaffold896	U	NA
scaffold898	U	198
scaffold914	U	NA
scaffold916	U	NA
scaffold919	U	NA
scaffold920	U	NA
scaffold922	U	NA
scaffold924	U	NA
scaffold925	U	NA
scaffold927	U	NA
scaffold933	U	NA
scaffold935	U	NA
scaffold939	U	NA
scaffold941	U	NA
scaffold943	U	NA
scaffold944	U	NA
scaffold950	U	NA
scaffold952	U	NA
scaffold953	U	NA
scaffold968	U	NA
scaffold983	U	NA
